# x in cm, y in cm, u in m/s
-10.000,-10.000,-0.103
-8.000,-10.000,0.277
-6.000,-10.000,0.577
-4.000,-10.000,0.798
-2.000,-10.000,0.938
0.000,-10.000,0.998
2.000,-10.000,0.978
4.000,-10.000,0.877
6.000,-10.000,0.698
8.000,-10.000,0.438
10.000,-10.000,0.098
-10.000,-8.000,0.257
-8.000,-8.000,0.637
-6.000,-8.000,0.937
-4.000,-8.000,1.157
-2.000,-8.000,1.297
0.000,-8.000,1.357
2.000,-8.000,1.337
4.000,-8.000,1.237
6.000,-8.000,1.057
8.000,-8.000,0.797
10.000,-8.000,0.458
-10.000,-6.000,0.538
-8.000,-6.000,0.917
-6.000,-6.000,1.218
-4.000,-6.000,1.438
-2.000,-6.000,1.578
0.000,-6.000,1.637
2.000,-6.000,1.617
4.000,-6.000,1.517
6.000,-6.000,1.337
8.000,-6.000,1.078
10.000,-6.000,0.738
-10.000,-4.000,0.738
-8.000,-4.000,1.117
-6.000,-4.000,1.417
-4.000,-4.000,1.638
-2.000,-4.000,1.778
0.000,-4.000,1.838
2.000,-4.000,1.818
4.000,-4.000,1.718
6.000,-4.000,1.538
8.000,-4.000,1.278
10.000,-4.000,0.938
-10.000,-2.000,0.857
-8.000,-2.000,1.237
-6.000,-2.000,1.538
-4.000,-2.000,1.758
-2.000,-2.000,1.897
0.000,-2.000,1.958
2.000,-2.000,1.938
4.000,-2.000,1.837
6.000,-2.000,1.657
8.000,-2.000,1.397
10.000,-2.000,1.058
-10.000,0.000,0.897
-8.000,0.000,1.277
-6.000,0.000,1.577
-4.000,0.000,1.798
-2.000,0.000,1.938
0.000,0.000,1.998
2.000,0.000,1.978
4.000,0.000,1.877
6.000,0.000,1.698
8.000,0.000,1.438
10.000,0.000,1.098
-10.000,2.000,0.857
-8.000,2.000,1.237
-6.000,2.000,1.537
-4.000,2.000,1.758
-2.000,2.000,1.897
0.000,2.000,1.958
2.000,2.000,1.937
4.000,2.000,1.837
6.000,2.000,1.657
8.000,2.000,1.397
10.000,2.000,1.058
-10.000,4.000,0.737
-8.000,4.000,1.117
-6.000,4.000,1.417
-4.000,4.000,1.637
-2.000,4.000,1.777
0.000,4.000,1.837
2.000,4.000,1.817
4.000,4.000,1.717
6.000,4.000,1.537
8.000,4.000,1.277
10.000,4.000,0.938
-10.000,6.000,0.537
-8.000,6.000,0.917
-6.000,6.000,1.217
-4.000,6.000,1.438
-2.000,6.000,1.577
0.000,6.000,1.637
2.000,6.000,1.617
4.000,6.000,1.517
6.000,6.000,1.337
8.000,6.000,1.077
10.000,6.000,0.737
-10.000,8.000,0.257
-8.000,8.000,0.637
-6.000,8.000,0.937
-4.000,8.000,1.157
-2.000,8.000,1.297
0.000,8.000,1.357
2.000,8.000,1.337
4.000,8.000,1.237
6.000,8.000,1.057
8.000,8.000,0.797
10.000,8.000,0.458
-10.000,10.000,-0.103
-8.000,10.000,0.277
-6.000,10.000,0.577
-4.000,10.000,0.798
-2.000,10.000,0.938
0.000,10.000,0.998
2.000,10.000,0.978
4.000,10.000,0.877
6.000,10.000,0.698
8.000,10.000,0.438
10.000,10.000,0.098
